,title,place,address,time,activityType,activityClass,ticketPrice
0,【理想居處】 Ideal Residence 林安常個展,臺北市,"臺北市中山區
基湖路137號一樓",2019/09/11 13:00 ~ 2019/10/02 19:00,展覽,工藝（不含古物、古董） - 雕塑 - 不分細類,不售票
1,2019海洋文化講座【韓愈的南海：唐代的海洋印象與傳說】謝金魚,臺北市,臺北市中正區中山南路11號5樓,2019/11/16 14:00 ~ 2019/11/16 16:00,演講／講座／研討會,民俗與文化資產 - 綜合 - 不分細類,"/ 300元
原價300元;長榮集團親友優惠價250元"
2,海人與夜獸：Lafin Sawmah拉飛邵馬 ＆ Heidi Yip葉海地聯展,臺北市,"臺北市內湖區
品砌家居 Eidos Living︰新湖三路191號1樓",2019/10/12 09:00 ~ 2019/12/31 18:00,展覽,視覺藝術（藝術品與美術） - 綜合 - 不分細類,不售票
3,世界巡禮-鐵漢柔情德意志,臺北市,臺北市中正區中山南路21之1號,2019/11/27 19:30 ~ 2019/11/27 21:30,表演與節慶,古典與傳統音樂 - 西樂 - 室內樂,"/ 300元
/ 500元"
4,"2019金馬影展：寂寞診療室
（2019台北金馬影展）",臺北市,臺北市萬華區西門町西寧南路36號4樓、5樓,2019/11/08 21:30 ~ 2019/11/10 20:20,影片播放,影視／廣播 - 電影 - 劇情片,"/ 180元
/ 220元
/ 260元
全票260元，學生票220元，日場票180元"
5,海人與夜獸：我們在黑潮航線上創作 | 東海岸藝術分享會,臺北市,"臺北市內湖區
新湖三路191號1樓",2019/11/16 15:00 ~ 2019/11/16 16:30,演講／講座／研討會,視覺藝術（藝術品與美術） - 綜合 - 不分細類,不售票
6,如夢之夢－吳惠淳彩墨創作展,臺北市,臺北市信義區仁愛路四段505號,2019/09/21 09:00 ~ 2019/10/02 18:00,展覽,視覺藝術（藝術品與美術） - 平面藝術 - 水墨,不售票
7,霜賢峻偉—人間國寶王清霜家族漆藝特展,臺北市,臺北市中正區南海路41號,2019/12/03 09:30 ~ 2019/12/31 17:30,展覽,工藝（不含古物、古董） - 其他 - 不分細類,不售票
8,影片：「看見長安」假日電影院,臺北市,臺北市中山區長安西路3號4樓,2019/11/10 14:00 ~ 2019/11/10 16:00,影片播放,影視／廣播 - 電影 - 劇情片,不售票
9,108年西藏文化藝術節-梵音神鼓音樂會,臺北市,臺北市信義區仁愛路四段505號,2019/11/26 19:00 ~ 2019/11/27 22:00,表演與節慶,古典與傳統音樂 - 宗教音樂 - 不分細類,不售票
10,史傳與人生─歷史人物講座（九）：一代兵仙、不敗戰將－韓信（三）,臺北市,臺北市士林區臨溪路72號,2019/11/16 14:00 ~ 2019/11/16 17:00,演講／講座／研討會,民俗與文化資產 - 其他 - 不分細類,/ 100元
11,展覽《集象畫會聯展》,臺北市,臺北市松山區八德路3段25號,2019/09/21 09:00 ~ 2019/10/03 17:00,展覽,視覺藝術（藝術品與美術） - 平面藝術 - 綜合,不售票
12,"2019金馬影展：判決之後
（2019台北金馬影展）",臺北市,臺北市信義區松壽路16號,2019/11/10 15:50 ~ 2019/11/10 17:56,影片播放,影視／廣播 - 電影 - 劇情片,"/ 180元
/ 220元
/ 260元
全票260元，學生票220元，日場票180元"
13,｢向大師致敬｣ 石晉華個展,臺北市,"臺北市大安區
和平東路一段180號7樓",2019/12/14 11:00 ~ 2019/12/31 18:00,展覽,視覺藝術（藝術品與美術） - 其他 - 不分細類,不售票
