newsId,categoryId,categoryName,author,title,article,timestamp,datetime
4287429,838,forex,鉅亨網編譯許家華,不確定性與疲弱的全球經濟數據 美元將持續強勢 ,美銀美林近期一份報告指出，經濟疲弱和海外的不確定性提振美元過去一週和過去一年的表現，而這趨勢可能持續下去，儘管 Fed 立場轉鴿派。 美銀美林分析師 Claudio Piron 和 Athanasios Vamvakidis 週五報告指出，「今年外匯市場的難題就是美元為何就是不貶值。」「美元價格已被高估，且處於歷史上強勢，但美國經濟成長放緩，且 Fed 已經轉鴿派，但是美元還是比一年前還強勢，且在今年加權貿易廣泛持平。」美元最大競爭貨幣歐元遭當地經濟數據拖累；因 Fed 引發風險資產漲勢而衝擊到日圓匯率；英鎊還在與脫歐事務糾結不清。除了 Fed 升息踩煞車以外，美國財政刺激措施減弱，也令市場參與者看到美元一些疲弱點。然而，根據 FactSet，ICE 美元指數今年迄今卻上漲了 1.2% 之多，這是因為美國海外的局面更悲觀，抵消了美國國內對美元利空的因素。例如，ECB 週四將今年經濟成長預期自 1.7% 下修至 1.1%。根據 FactSet，自今年開年以來，歐元已經下跌了 1.7%。Prion 和 Vamvakidis 表示，歐元兌美元匯率「被低估了約莫 7%，但我們認為，疲弱的歐元區數據讓歐元無法升值。」歐元區經濟困境來自義大利政局發展、德國監管變動，以及法國兇猛的抗議活動，最重要的是，歐元區經濟導向需求驅動，而與中國的貿易戰挫傷了這方面的數據。與此同時，脫歐的不確定性是歐元和英鎊的利空因素，且最終英國將如何脫離歐盟，其結果也將對這兩個經濟體產生影響。可以確定的是，美元目前的浮力仍軟脆弱，倘若歐洲經濟狀況好轉，美元就會貶值。美銀美林分析師表示，仍樂觀看待這些事情出現合理的妥協，因為這反過來也有助歐元區的數據穩定下來，如果數據穩定，ECB 可能 12 月會升息。他們認為，中美間達成全面性貿易協議的可能性，可能也會支撐風險情緒，且尤其是新興市場資產，進而讓市場波動下降。「我們認為，美元和新興市場匯率均因套息需求而表現良好。」,1552096309,2019-03-09 09:51:49
4287422,838,forex,鉅亨網編譯許家華,紐約匯市—就業報告嚇傻市場 美元擴大跌幅,"週五 (8 日) 交易，因美國 2 月份就業報告遠不及預期，美元擴大跌幅。矽谷銀行市場風險解決方案副總裁 Sam Cooper 表示，「今日數據的巨大落差可能有利避險資產，因為對全球成長放緩的擔憂，加上去化風險的情緒會推動市場。雖然參與者顯然會聚焦在交易和政治上，但經濟數據令人失望，這也會是美元多頭擔心的一點，這會對美元強勢背後的動力踩煞車。」ICE 美元指數下降 0.4% 至 97.318。美元走疲，其主要競爭貨幣歐元就上升。週四由於歐洲央行意外放鴿，歐元摔至 2017 年中期以來最低水準。布朗兄弟哈里曼（Brown Brothers Harriman）全球貨幣策略主管 Win Thin 表示，「市場對 ECB 決策的反應令人震驚，可想而知，在 ECB 意外鴿派的行動下，歐元跌至多年低點，但這對全球股市和外匯市場造成龐大衝擊卻是相當料想不到，基本上投資者明確表示，對全球成長的擔憂完全超過了 ECB 寬鬆政策的影響。」歐元兌美元自前一日的 1.1194 美元上升至 1.1243 美元。英國方面，英國國會下週 3 月 12 日將舉行最終投票，若英國首相梅伊想要求歐盟提供更好的脫歐協議，這已是最後時間，但外電報導，英國已經拒絕了歐盟最新提議，即是指將愛爾蘭邊境保障措施僅用在北愛，而非全英國。英國預計 3 月 29 日脫離歐盟，但目前英國和歐盟之間尚無達成脫歐後兩邊關係如何處置的協議，週五梅伊表示，倘若國會不支持其協議，英國恐怕無法脫歐。上個月國會議員表決同意排除無協議脫歐 (但該表決無法律約束性)。英鎊兌美元自週四稍晚的 1.3007 美元上升至 1.3016 美元。
英鎊兌歐元大幅走低，歐元大漲 1.1% 至 0.8642 英鎊。亞洲交易時間，中國周五公布貿易數據遜於共識預期，2 月份出口年減 20.7%，遠大於只下降 4% 的稍早預期，同時進口下降 5.2%，也大於原本估計下降的 0.9%。人民幣兌美元縮限在窄幅交易，美元兌在岸人民幣上升 0.1% 至 6.7216 元，美元兌離岸人民幣下降 0.1% 至 6.7310 元。",1552091375,2019-03-09 08:29:35
4287101,838,forex,鉅亨網編譯陳世環,〈每日外資外匯觀點〉歐洲央行比預期還要鴿派 打開歐元下跌空間,歐洲央行「放鴿」，改變利率政策前瞻指引，原本今年中維持利率不變延至今年底，並下調經濟成長和通膨預期，並宣布新一輪定向長期再融資操作 (TLTRO)，衝擊歐元兌美元跌破 1.12；市場並將關注今晚美國的非農就業報告公布，預期也將造成市場波動。摩根大通資產管理公司 EMEA 首席市場策略師 Karen Ward 表示，歐洲央行現在跟隨美國聯準會，政策出現重大轉向。歐洲央行的鴿派舉動，使得歐元持續遭到拋售。彭博外匯策略師 Vassilis Karamanis 指出，雖然市場對於歐洲央行調降經濟成長及通膨預期，早有心理準備，歐洲央行宣布新一輪 TLTRO，並改變利率政策的前瞻指引，打開了歐元的進一步下跌的空間。而且在美國就業報告表現強勁及周五到期的期權展期，預期歐元空頭將可進一步獲利。瑞銀利率和外匯策略主管 Themos Fiotakis 和荷蘭銀行駐阿姆斯特丹外匯策略師 Georgette Boele 都表示，歐洲央行轉變政策的步伐，比市場預期更堅定，歐元恐受打壓，難以上漲。Boele 並表示，歐元目前承受多重利空，預期歐元兌美元將在 1.10 觸底。美元指數周四一度上漲來到 97.71，外匯網站 FX Charts 分析師 Jim LanglandsL 表示，目前上檔壓力位於在 97.87，若能突破，將上看 98，甚至 100.15，美元的動能指標強勁，維持做多美元的建議。,1552023005,2019-03-08 13:30:05
4287093,838,forex,彭博資訊,追求「可執行透明度」 美墨加協定或為美中匯率條款提供範例,中國人行或許要褪去外匯市場操作的神秘面紗了。美國貿易代表萊特希澤上周告訴國會，美國希望中國能夠承諾未來「不參與競爭性貶值」，在匯率市場操作方面達到一定的「透明度」，並確保這兩點是「可執行的」。去年 11 月末北美三國簽訂的新協定中的匯率部分，或許能為這三個關鍵詞提供一個範本。根據《美國 - 墨西哥 - 加拿大協定》，除了各方需要具備由市場決定價格的匯率機制，避免競爭性貶值，還對具體的干預行為披露範圍和時效進行了具體規定，其中值得關注的兩點是：2015 年開始的人民幣大幅貶值令資本大量外流，中國監管層通過動用外匯存底進行了市場干預，同時還可能通過遠期市場進行美元融資，從而減少對使用外匯存底進行干預的依賴，這種融資交易顯著壓低了境內掉期點數。央行曾在解釋外匯存底下降時，指出包含即期市場操作的因素，但遠期市場操作的情況並未在人行報表中進行過披露。如果美國按照美墨加協定的匯率條款模式，與中國就人民幣匯率穩定和操作透明度達成一致，那就意味著中國人行在未來可能需要披露匯率市場的所有干預行為，中國匯率政策的透明度有可能進一步提升。「我覺得美墨加協定會為中美貿易協定匯率條款提供一個很好的參考系，」招商銀行金融市場部首席外匯分析師李劉陽在採訪中說。他進一步解釋指出，美方或許是在推進一種普適的、「他們認為是更公平的」新貿易規則，對於加拿大、墨西哥、中國乃至今後要談判的日本、歐洲，都會在匯率穩定和透明度方面提出類似的要求，因此推測中國的條款也可能和美墨加協定有重疊部分。在可執行度方面，美墨加協定還規定，三方需成立專門的委員會，對匯率條款的實施進行監控，並就實施效果和相關問題進行定期會晤討論。此外協定還確定了爭議的磋商和解決機制。如果中國做出這些承諾，人民幣外匯市場的政策干預行為勢必受到制約，同時也意味著匯率彈性的擴大。這與中國政府對清潔匯率改革方向的承諾相符。正在進行的中國「兩會」政府工作報告，時隔兩年後匯率目標重新提及了「完善匯率形成機制」，如果中美就匯率穩定、政策透明度和可執行性達成一致或許也會成為新一輪改革的開端。中國銀保監會主席郭樹清在中國兩會期間的「部長通道」指出，接下來的中美經貿談判達成共識是比較容易的，中國落實執行這些協議也是非常有把握的。他說，美國官員包括川普總統在內指責中國操縱匯率、推動人民幣貶值來獲得競爭優勢；而中國一直在維護人民幣匯率穩定，沒有通過匯率貶值贏得競爭優勢，這是美國財政部的定義，「按這個定義，中國沒有操縱匯率。」美墨加協定與當年日本「廣場協議」顯然不同。對人民幣前景，李劉陽並不十分擔憂人民幣匯率會因此大幅升值。他在周二的一份報告中分析說，從《美墨加協定》中的匯率條款來看，美方更注重的是規則的建設，而非一味逼迫人民幣升值。「在 IMF 的報告中，美元的實質有效匯率高估了約 10% 左右。在參考一籃子貨幣的現有機制下，假設美元指數總體再下跌 10%，那人民幣對美元的極限匯率水平也就在 6.1 左右，」報告稱。近期人民幣即期匯率在 6.70 元上下波動，但兌一籃子漲勢明顯，CFETS 籃子指數升破 95 後繼續上行。過去兩年，籃子指數反彈至這一水平後，中國曾兩次退出應對貶值的逆周期調控措施；但在聯準會實際升息步伐仍有變數、歐洲央行宣布更多寬鬆措施之際，人民幣短期仍面臨波動風險，任何匯率政策的變化都仍需要對各類不確定性進行更多觀察。,1552019579,2019-03-08 12:32:59
4286920,838,forex,鉅亨網編譯許家華,紐約匯市—ECB意外放鴿 歐元跌至4個月低點,週四 (7 日) 交易，歐洲央行 (ECB) 意外延長維持超低利率至今年底過後，並稱即將推出歐元區的定向長期再融資操作(TLTRO)，歐元兌美元跌至 4 個月低點歐元原本在決策前一直持平，在 ECB 宣布這些消息後，歐元兌美元下跌至 1.1212 美元，根據 FactSet，這已觸及自去年 11 月初以來的低點，前一日稍晚匯率為 1.1309。歐元已經連續 4 個交易日走跌。ECB 先前只說會暫停升息直至今年夏季的某個時點，如今的決策較先前說法更加鴿派。此外，ECB 也如預期地調降今年歐元區 GDP 成長估值，自 1.7% 下修至 1.1%。ECB 現在預期 2020 年的 GDP 成長率為 1.6%，略低於先前估計的 1.7%，但對 2021 年的成長前景維持在 1.5%。 BK 資產管理公司外匯策略總監 Boris Schlossberg 認為，延長 TLTRO 貸款措施有利於歐元，因為理論上這將刺激歐元區的放款並進一步推升成長。在隨後的新聞發布會上，ECB 總裁德拉吉 (Mario Draghi) 表示，ECB 認為經濟衰退的可能性「非常低」，但管理委員會制定政策仍仰賴經濟數據，而經濟數據目前正在下降。ThinkMarkets 首席市場分析師 Naeem Aslam 表示，「ECB 放了不少煙火：一個新系列的 TLTRO，基本上就是承認歐元區的成長放緩，今天宣布的消息讓交易員都瘋狂了，這拉低了歐元兌美元的匯率。」踩在疲軟的歐元上，美元走強，ICE 美元指數上升 0.5% 至 97.388，登上去年 12 月以來最高點。美國經濟數據方面，3 月 2 日止的一週，失業救濟金請領人數略低於預期。第四季生產力增加率 1.9%，但單位勞力成本上升 2%。根據《路透社》一項針對分析師的調查，分析師認為美元未來一年應走跌，因為美國經濟成長趨緩，且所有來自中美貿易紛爭解套的動力均已入價。英鎊兌美元自週三稍晚的 1.3169 美元下降至 1.3090 美元。日圓略走強，美元兌日圓下跌 0.2% 至 111.53 日圓。加元吐回稍早漲幅，延續前一日的跌勢，美元兌加元最終至 1.3456 加元，與前一日持平。前一日加元因加拿大央行發表鴿派政策而走跌至 2 個月低點。由於零售銷售數據低於預期，澳元兌美元跌至兩個月低點 0.70205 美元，接著回彈 0.2% 至 0.7049 美元。在阿根廷經濟疲於奔命地打擊竄升的通膨之際，阿根廷披索兌美元跌至記錄低點，盤中低點達 42.60。根據 FactSet，阿根廷披索兌美元自今年開年以來已下跌 10.2%,1551991393,2019-03-08 04:43:13
4286574,838,forex,鉅亨網編譯陳世傑,〈每日外資外匯觀點〉歐元提振就看歐洲央行今晚是否宣布TLTRO,歐洲央行決議及行長德拉吉發表談話預期將引發今晚歐元劇烈波動，市場關注是否如外媒報導，歐洲央行將調降 2021 年前的通膨預期，並調降經濟展望及宣布新的定向長期再融資操作 (TLTRO)。歐洲央行官員日前表示，歐洲的經濟放緩程度比預期嚴重，可能需要新的刺激措施，可能實施新的 TLTRO。道明證券 (TD Securities) 北美外匯策略主管 Mark McCormick 指出，果若如此，從長遠來看，對歐元將是利多。高盛策略師 Michael Cahill 和 Matteo Crimella 表示，預期歐洲央行將在本周宣布新的定向長期再融資操作 (TLTRO)，歐元有望受到提振。匯豐 (HSBC) 分析師則認為，歐洲央行不急於在三月宣布新 TLTRO，預期要到四月才會就定向 TLTRO 發表全面的聲明。丹斯克銀行分析師更認為，歐洲央行在本周的會議上雖將承認歐元區經濟面臨的風險，但不至於需要做任何政策變動，也不會宣布流動性操作。巴克萊 (Barclays) 表示，預期歐洲央行周四的利率決策將按兵不動，但聲明將更加鴿派，並在 3-6 月間宣布新一輪 TLTRO，該行維持看空歐元兌美元，將繼續持有空頭部位，目標價下看 1.0889。澳新銀行 (ANZ) 指出，歐元區下半年經濟將進一步放緩，建議投資人可以考慮逢高做空歐元兌美元，三月底目標價下看 1.10，六月底進一步下看 1.08。,1551935404,2019-03-07 13:10:04
4286399,838,forex,鉅亨網編譯許家華,紐約匯市—數據報告一波波中 美元回彈；澳元跌至1月以來低點,"週三交易，經過私人就業數據、國際貿易和 Fed 的褐皮書等一連串經濟數據報告後，美元回彈。2 月份的 ADP 就業報告顯示，私人產業增加 18.3 萬人就業，低於前一個月新增 21.3 萬人的數據，因此短暫將美元拉至負面領域。稍後公布的 12 月份貿易盈餘顯示，出口下降 1.9%、進口上升 2.1%，赤字擴大 18.8% 至 598 億美元。此報告公布後，推高美元。Fed 褐皮書發現，大多數區域 Fed 在 1 月下旬至 2 月間出現「輕微至適度」的成長。報告稱 1 月份美政府部分關閉，令許多 Fed 區域的經濟活動疲弱。ICE 美元指數持平在 96.874。美元兌許多發達市場貨幣仍守住力道，但比較明顯兌日圓下跌，最終美元兌日圓下跌 0.1% 至 111.80 日圓。澳元是主要貨幣中表現最差的，澳元兌美元下跌 0.8% 至 0.7026 美元，觸及自 1 月初以來最低點。ACLS Global 首席分析師 Marshall Gittler 表示，「第四季 GDP 低於共識預期顯然衝擊到澳元。」澳洲第四季 GDP 年率成長 2.3%，低於預期的 2.8%，季成長 0.2%，同樣低於預期的 0.4%。「澳元又受到另一個下跌衝擊，因為又多 2 家銀行改變說法，預期今年降息。市場估計今年降息的可能性自昨日的 58% 躍升至 73%，這是很大的改變。」澳洲儲備銀行長 Philip Lowe 重申先前說法，即今年升降息的可能性持平。雖然在去化風險的交易日，常見日圓上漲、澳元貶值，但這回不見得如此，美股走低，全球週三股市錯綜。其他貨幣，加元下跌至 2 個月低點，加拿大央行 (BOC) 維持利率不變，並稱未來升息的不明確性提高了，且 BOC 對加拿大和全球經濟的前景看法黯淡，但稱貿易紛爭倘若解套可望有所幫助。美元兌加元最終自昨日的 1.3351 加元上升至 1.3428 加元，盤中高點一度達 1.3458 加元。歐元兌美元持平在 1.1309 美元。
英鎊兌美元自週二稍晚的 1.3177 美元下降至 1.3171 美元。",1551908152,2019-03-07 05:35:52
4286244,838,forex,鉅亨網記者王莞甯 台北,我2月外匯存底續創新高 外資持有股債台幣存款增逾180億美元,台灣央行今 (6) 日公布 2 月底我國外匯存底金額為 4639.35 億美元，較上月底增加 8.92 億美元，續創歷史新高，其中，外資持有國內股票和債券連同新台幣存款餘額，共折計 3624 億美元，較上月增加 183 億美元，約當外匯存底 78%，較上月增加 4 個百分點。央行說明，外匯存底增加主要是因外匯存底投資運用收益，不過，部分被歐元等貨幣貶值折計美元後金額減少抵銷。央行進一步指出，由於美國貨幣政策偏鴿派，2 月台股加權指數上漲 4.6%，且外資買超台股金額高達 691 億元，推升外資持有台幣資產占外匯存底比重。觀察各國外匯存底，中國 1 月仍居冠達 3.0879 兆美元，月增 152 億美元，日本為 1.2161 兆美元，月增 72 億美元，瑞士 7463 億美元，月增 77 億美元，南韓 3943 億美元，月減 8.3 億美元；而沙烏地阿拉伯 4797 億美元，月減 67 億美元。,1551868556,2019-03-06 18:35:56
4286172,838,forex,鉅亨網編譯陳世傑,布局中美貿易談判達成協議 小摩高喊買馬幣,中美貿易戰若達成協議，摩根大通 (JP Morgan) 亞洲新興市場外匯策略主管 Jonathan Cavenagh 表示，中國可能從美國購買更多商品，將有助於棕櫚油價格持穩，棕櫚油大國馬來西亞貨幣林吉特將從中受惠。Cavenagh 看好美中貿易談判的前景，只要貿易戰緊張局勢明確有所緩和，馬幣仍然可以從目前的價位受益。美國國務卿蓬佩奧 (Mike Pompeo) 周一釋出中美貿易談判的正面訊息，他認為美國和中國正處於達成協議並結束貿易戰的轉捩點上，希望雙方在接下來幾 周達成協議，終止貿易衝突。Cavenagh 指出，中國的需求增加將提振油價，有助於馬來西亞棕櫚油出口價格，而積極的貿易發展有助於馬來西亞的經常帳戶餘額；此外，經常帳戶出現盈餘，通常也對該國的貨幣具有支撐力道。高盛本周出具的報告也支持類似看法，中美貿易談判若協議，中國可能會從美國購買更多商品，預期中國將大部分的採購承諾集中在農業和原油、天然液化氣等能源商品。,1551864003,2019-03-06 17:20:03
4286204,838,forex,鉅亨網新聞中心,港幣兌美元下滑至弱方兌換保證 創半年來首見,港幣兌美元 6 日跌至 7.85 的弱方兌換保證水準，為近半年來首見。港幣上一次觸及弱方兌換保證是在 2018 年 4 月 - 9 月期間，歷時 5 個月，也造成香港金管區入市干預，耗資 100 億美元左右。此次港幣貶值的主要原因之一，就是香港利率 Hibor 在年初以來的快速下降，兩者之間的利差已經拉大到了 100 個基點左右，使得套利交易大幅增加。不過，自 2 月 27 日以來，3 個月期的 Hibor 已經從 1.5611% 上升到了 1.6164%，上漲了 5 個基點。港匯走弱，部分原因也與 A 股有關，由於 A 股今年以來大漲逾 20%，且強勢突破 3000 點，外資更是兩月流入額高達人民幣 1200 億，1 月、2 月單月流入額都高達人民幣 600 億。隨著 A 股走好，人民幣升值加速，港匯較為弱勢，資金流出加快。通常港幣的貶值壓力會隨著利率提升而有所緩解，但是，從幅度來看，港幣利率升幅偏小，才使得港幣屢次逼近 7.85。但是，一旦快速升息，將進一步對股市和房地產市場構成較大壓力，房地產將面臨較大的挑戰。不過在港匯不斷觸及弱方保證的時候，港股不跌反漲，且強勢突破 29000 點關口，這與去年 4 月那波港匯走弱，恆指大跌演繹出了完全相反的走勢。,1551862464,2019-03-06 16:54:24
