newsId,categoryId,categoryName,author,title,article,timestamp,datetime
4287457,827,stock,鉅亨網記者郭幸宜 台北,〈台大校園徵才〉Fintech改寫金融業生態 金融業跨界爭搶科技高手助陣,"金融科技改寫金融業務型態，也讓金融業對於具備科技專長的人才求才若渴，國泰金總經理李長庚認為，隨著金融科技人才需求不斷提升，未來金控總經理可能不見得一定是財務金融背景；富邦金總經理韓蔚廷也說，比起國際大型網路金融公司有半數科技專長的員工，台灣金融業在科技人才的培育上，還有很大的發展空間。李長庚今 (9) 日出席台大校園徵才活動，會後受訪時表示，國泰金徵才不侷限在金融財務背景的人，隨著金融科技發展與資安需求越來越吃重，具備科技背景，但對金融業有興趣的人也會是國泰金積極招募培育的對象。李長庚說，國泰金控目前科技專長員工約 1,800~1,900 人，比重不高，長期目標希望能將科技人才比重拉高至 2 到 3 成，他更表示，若以後國泰金科技專長的員工比重達到 2、3 成以上，屆時或許金控總經理就不見得是金融財務出身。事實上，為了強化金融科技與資訊安全，金融業近年來積極跨界爭搶相關人才效力，包括玉山金、第一金就分別中研院與資策會挖角高手效力。玉山金去年因應金融科技增設科技長一職，並從中央研究院找來研究陳昇瑋擔任科技長，今年更一口氣向中研院借調三年，讓陳昇瑋專任科技長，專心為玉山金打造金融科技，負責將 AI 與大數據等技術導入金融業務，讓服務更具競爭力；第一銀行前年從資策會找來劉培文博士，掌舵資安、金融科技與數位金融等業務，反映出金融業對於科技領域人才的強烈需求。",1552132265,2019-03-09 19:51:05
4287455,827,stock,鉅亨網記者郭幸宜 台北,〈台大校園徵才〉十大金控今年預計招募3.8萬名生力軍 MA年薪上看百萬向新鮮人招手,"一年一度的校園徵才今 (9) 日起自台大校園起跑，包括國泰金、富邦金、中信金、第一金、富邦金、台新金、新光金等 10 大金控合計共釋出 3.8 萬名職缺，其中又以 MA(儲備幹部) 與科技跨領域人才最為搶手。以薪資水準來說，MA 起薪平均約 5~6 萬起跳，若加計年終與績效獎金，平均年薪可望上看百萬，對社會新鮮人來說頗具吸引力。統計各金控釋出的徵才員額，包括國泰金、富邦金、中信金等三家以業務為導向的金控釋出名額都在 5,000 名起跳，其中國泰金預計徵員 7,000 名、富邦金徵員 6,800 名。國泰金今年預計招募 7,000 名新人，其中校園徵才員額就高達 5,000 名，其中國泰人壽 5,000 人、國泰世華銀行約 2,000 人，職缺包括儲備幹部、數位科技、財務精算等。國泰金總經理李長庚表示，國泰集團正在數位轉型階段，對於 Fintech 人才有高度需求，因此今年徵才重點將聚焦數位金融、科技跨領域等人才，目前國泰金在金融科技相關員工人數比重不高，未來將持續招募科技相關人才，目標希望金融科技人力比重拉高至 1~2 成。富邦金總經理韓蔚廷說，今年金控預計共招募 6800 人，其中 MA 名額約 60 名，包括富邦華一銀行 (上海) 與富邦財產 (廈門) 兩家子公司也同步加入 MA 招募，特別的是，需要研究所學歷的 MA，今年首度開放大學畢業新鮮人參與甄選。中信金今年則預計招募 5,000 名新人，其中包括 60 名 MA，釋出的職缺涵蓋金融業務、大數據 AI 與洗錢防制等。台新金今年預計從校園招募 800 名新人，職缺包括 MA、法金消金業務、儲備理財專員、IT 與客服等，總經理林維俊表示，因應金融科技趨勢，今年招募的 800 名新人中對於 IT 員額沒有設限，目前台新金 IT 部門員工約 400 人，是金控重視的部門之一。新光金預計招募 4,000 新人，包括 50 名 MA、3,000 名外勤業務與 300 名內勤職缺等。開發金今年預計招募 3,500 名新人，包括壽險 2600 人、銀行 450 人、證券 350 人，開發金控、中華開發資本及其他子公司 100 人。",1552132220,2019-03-09 19:50:20
4285199,827,stock,鉅亨網記者陳蕙綾台北,〈觀察〉中國經濟放緩 銀行仍無懼續西進 全因在陸拚7年勝過東南亞20年,國銀在台灣因為利差不斷縮小，近年都靠大舉拉高海外獲利以求生，其中，儘管中國經濟放緩，甚至不時有陸企地雷頻傳，國銀還是大無懼持續西進，主要是因為「大陸拚 7 年勝過東南亞 20 年」，銀行高層主管這句話道出原委。我國自 1990 年開放民營銀行設立後，銀行家數逐年攀升，以台灣目前市場規模而言，銀行密度過高，平均每十萬人能分配到的銀行家數約一百家以上，導致各家銀行規模不易擴大，無法達到規模經濟效益，經營成本不易降低。而市場競爭激烈，使得銀行主要獲利來源的存放款利差，自 2003 年起逐漸降低。根據中央銀行最新公布 2018 年第 4 季國銀存放款加權平均利率各為 0.55% 和 1.90%，其中存款利率創下歷史新低水準，錢存銀行的利息可說是愈來愈薄。依央行統計資料，2008 年本國銀行存款平均利率還有 1.71%，十年下來存款利息縮水三分之二，每存 100 萬元，利息等於少了 11600 元。因為存放利差下降，國銀在台灣愈來愈難賺，2010 年，金管會開放台資銀行對大陸的授信，台資銀行得以參與中國國企、央企等大型聯貸的融資機會，為台商業務外的獲利來源。大陸台商眾多，各家國銀紛紛擴展大陸銀行市場，截至今 (2019) 年 1 月底為止，本國銀行在大陸地區已開業的有 5 家子行、24 家分行，民營銀行中分行數以中國信託銀行最多、公股行庫則是合庫最多。根據金管會統計，2018 年本國銀行在大陸地區的分行、子行，稅前共賺 60.4 億元，比起 2017 年成長 10% 以上，連續 3 年成長，且超越日本，但若排除大陸子行，只單看大陸分行獲利，則較去年衰退 12%。大陸分行去年獲利衰退主要有兩原因：第一，去年人民幣匯率變動、美中貿易戰升溫，個大陸分行增加提存呆帳費用，比起 2017 年來說，去年多增提了 13 億元，吃掉獲利；第二，因國泰世華銀上海分行去年 9 月升格為子行，獲利就不計入大陸分行。雖然大陸分行去年獲利較前年衰退，但據金管會統計至去年底，國銀西進大陸的稅前盈餘為 398 億元，大舉賺贏去年在新南向 18 國據點的稅前盈餘 67.6 億元。這就是為什麼儘管惠譽信評預估，今、明兩年，中國經濟成長率剩下 6.1%，中國經濟放緩之下，中國仍大無懼持續西進。光是從去年起，就有國泰世華上海分行升格子行、彰銀於南京開設子子行，中信深圳分行也於上個月開業。再進一步觀察國銀想要挺進大陸的決心，據金管會統計，目前還有 5 家國銀還在等著中國受理，包括：台銀上海分行自貿區支行、中信銀上海分行虹橋支行、及銀和國泰世華銀的廈門分行、及上海商銀的無錫分行。國銀之所以對於西進大陸還是前仆後繼，以台資銀行在大陸獲利冠軍的中信銀為例，中信銀總經理陳佳文說「大陸拚 7 年勝過東南亞 20 年」，該行在大陸布局近 7 年，光是上海、廣州、廈門三分行的總資產就已破新台幣千億元，已超越東南亞 20 年的耕耘。為何近 7 年大陸利差不斷縮減下，中信還能在大陸能快速發展？優勢在於「跨境金融服務」，包括台商客戶與有海外金融需求的陸企，因為大陸本土銀行海外網點比中信多的只有中國銀行，當陸企往外走時，就是中信的機會。當然不諱言大陸的大型企業一開始可能會有點「不屑」台資銀行的規模，但往來後會對台灣的金融服務水平和客戶導向的精神相當有感。外界擔憂隨著中國經濟放緩，大陸呆帳是否惡化，陳佳文卻不擔心，他認為，大陸經濟已有二、三十年的好光景，有一些調整也是應該的，銀行本來就要面對景氣循環做好風控，現在呆帳率雖高，但因為中國市場大，好公司還是很多。中信銀大中華區法金事業總處長楊銘祥也說，「大陸的客層很大，一定會有不被滿足到的優質客群。」,1552120205,2019-03-09 16:30:05
4287454,827,stock,鉅亨網記者張欽發 台北,〈台大校園徵才〉龍巖校園徵才今首發 要找7大類人才 招募人數無上限,台大校園徵才企業博覽會今 (9) 日登場，設攤位參展的龍巖 (5530-TW) 表示，將徵集將徵集包含經營管理、資訊管理等七大類人才，招募人數無上限，錯過今天等活動，龍巖本月在其他大學校園仍參加徵才活動。龍巖也參與本次台大校園徵才活動，為連續第 5 年參加台大的校園徵才活動，今天在台大校園博覽會首發場，由龍巖富銘人資長領軍開跑，龍巖攤位以「改變！選擇比努力更重要」為主題。龍巖主管表示，招募人數無上限，將徵集包含經營管理、資訊管理、行銷企劃、營建規劃、行政專業、客戶服務、商品設計人才。今年是龍巖正式進軍中國大陸市場的銷售元年，溫州陵園銷售將於第 3 季開賣，龍巖除參與今天等台大校園徵才活動之外，龍巖也安排出席包括政治大學、成功大學、清華大學、中山大舉、中央大學及交通大學的校園徵才。,1552119319,2019-03-09 16:15:19
4287450,827,stock,鉅亨網記者張欽發 台北,競國2月營收5.24億元創5年來新低 Q1展望仍審慎,PCB 廠競國實業 (6108-TW) 1 月單月營收 7.02 億元，較去年 12 月成長 0.8%，最新公布 2 月營收 5.24 億元，創 5 年來新低，月減 25.26%，年減 17.21%；1-2 月營收 12.26 億元，年減 16.33%。對於第 1 季營運展望，競國主管偏審慎態度，內部仍在觀察 3 月營運態勢。值得注意的是，競國實業泰國廠有匯兌因素帶動，加上產能利用率走高， 1 月單月轉虧為盈，競國主管指出，泰國廠已取得歐系汽車電子廠認證，後續也將陸續取得部分經認證的汽車板訂單，並進入試單生產，但歐系客戶訂單進展緩慢，估計今年第 1 季對整體營收貢獻仍然不大。不過，泰國廠 1 月本業轉盈，已讓內部振奮。競國去年合併營收 89.3 億元，年增 2.25%，去年前 3 季稅後純益為 4.63 億元，年增 93.13%，每股純益為 2.89 元，法人估計競國去年的每股純益上看 3.5 元。競國擁有台灣樹林廠、中國大陸昆山廠及泰國廠三地產能，目前生產 PCB 仍偏重 3C 電子產品應用，包括 TFT LCD 光電板、NB 應用等；泰國廠原為投入汽車板而設立，目前該廠營收中，包括汽車風扇、音響等非安全性車用電子 PCB ，已占營收重要比重。競國 1 月單月合併營收 7.02 億元，較去年 12 月成長 0.8%，2 月因春節放假多，營收表現明顯受到影響，出現 5 年來單月新低的表現。,1552119280,2019-03-09 16:14:40
4287453,827,stock,鉅亨網記者林薏茹 台北,國際中橡與Uber合作打造空中載具用鋰電池 今年底在美發表,"國際中橡 (2104-TW) 旗下負責鋰電池事業的能元科技去年傳出與 Uber 合作，共同開發其專屬的鋰電池，雙方在加拿大溫哥華的研發中心進行研發，打造 Air Taxi 專屬鋰電池，預計今年底在美國正式發表。能元科技為台灣唯一生產電動車鋰電池芯的業者，去年 8 月傳出與 Uber 合作，共同開發其專屬的鋰電池，當時，總經理薛人禎指出，雖然原型已出爐，但後續仍有許多規格等因素待考量，還有很長一段路要走，可望於 3 至 5 年內看到實體成果。不過，據公司指出，與 Uber 合作打造的 Air Taxi 專屬鋰電池，今年底就可望在美國正式發表。而據 Uber 先前規劃的時程，將在 2020 年推出示範飛行，並於 2023 年商轉。能元科技瞄準高功率、高容量電池，主要應用包括儲能等利基型市場，目前全球僅 SONY、村田、三星等 3 家企業做得到，未來能元科技的目標便是成為全球前三大供應商。據悉，能元科技目前著眼的市場包括德國、美國等，客戶涵蓋家電客戶、工具機等，目前為 Dyson 最大供應商。在需求熱絡、訂單增溫下，能元科技已擺脫營運虧損，於 2017 年下半年轉盈，去年獲利則穩定成長，並透過去瓶頸將月產能由 400 萬顆增加至 450 萬顆，今年第 1 季月產能就可望翻倍、達到 900 萬顆，目標為 2020 年月產能增加至 1800 萬顆。
 ",1552119198,2019-03-09 16:13:18
4287452,827,stock,鉅亨網記者林薏茹 台北,〈台大校園徵才〉宏碁招募電競、資安與AI人才 年薪保障14個月,"筆電品牌廠宏碁 (2353-TW) 今 (9) 日參與台大企業徵才博覽會，預計徵才約 500 人，將招募包括電競、AI、資安及其他不同領域的人才，除年薪保障 14 個月，還會視公司營運狀況及個人績效，發放目標獎金。宏碁今年招募重點除正式職缺外，還包括實習生計畫，正式職缺方面，將招募電競、AI、資安及其他不同領域的新血，並在研發、產品經理、設計、行銷等不同職能上，開出多元職缺；實習生計畫除提供具競爭力薪資外，還能實際參與部門專案、體驗跨團隊溝通。宏碁今年同樣預計徵才約 500 人，薪資水平在上市櫃公司中名列前 5%，除年薪保障 14 個月，還會視公司營運狀況及個人績效，再發放目標獎金，提供具競爭力的薪酬水平，積極向專業領域人才招手。宏碁全球人資長林弘道表示，宏碁目標在建立「未來型企業」，透過多年在資通訊產業所建立的核心能力，延伸進入新的領域與藍海，一方面可創造多元成長引擎，實踐永續發展的企業目標，另一方面，提供內部及新進人才，不斷創新、學習、自主發展的成長型舞台與企業文化。宏碁目前除持續強化個人電腦產品外，也積極投入電競生態圈的支持與培育，在資訊安全、智慧零售、智慧交通、智慧醫療、智慧車輛等領域，也都有相當的投入與成果，走在雙重轉型的路上。
 ",1552119161,2019-03-09 16:12:41
4287451,827,stock,鉅亨網記者彭昱文 台北,〈台大校園徵才〉台泥董座張安平率隊親征 要找具備這3項特質的人才,台大就業博覽會今 (9) 日登場，台泥 (1101-TW) 集團旗下各企業全員出動，董事長張安平率隊親征，子公司台泥綠能、能元科技首度加入徵才行列，向 AI、綠能、環保、機械、化工、管理、外語等各式人才招手，對於人才特質，張安平特別點出，要具備「熱血、有思想、能創新」3 項特質。張安平表示，台泥事業體橫跨 12 項產業領域，未來核心價值鏈，包括 AI 智能管理與製造、碳循環綠經濟、水泥窯廢棄物處理，以及高能電池、儲能與綠電，皆為發展重心，與世界同步接軌。因此這次台泥集團徵才，鎖定 AI、綠能、環保、機械、化工、管理、外語等各式人才招手，張安平指出人才是企業的骨幹，對於未來需要的人才特質，他認為需要具備「熱血、有思想、能創新」3 項特質。今年台泥徵才計畫，針對商管、電資、理工及外語科系跨領域菁英，包括國貿、企管、財務等 MBA 科系，以及資訊、資工、電機、機械、材料與化工等電資、理工專業背景，並將投注大量資源培育國際化專才。其中 MA 儲備幹部計畫首創和國際專業技能及語文機構、學校合作，依各領域打造專屬課程，將安排 MA 至國內或海外特訓，同步強化專業及外語能力，提升競爭力。,1552119145,2019-03-09 16:12:25
4287449,827,stock,鉅亨網記者林薏茹 台北,〈台大校園徵才〉南亞科徵才300人 平均薪資20個月 碩士畢業年薪上看百萬,DRAM 大廠南亞科 (2408-TW) 今年度校園徵才活動，今 (9) 日從台大起跑，將擴大招募研發人才，預計徵才人數超過 300 人，目前員工基本薪資為 15 個月，加上季獎金、年終分紅等，平均薪資上看 20 個月，大學畢業年薪可望逾 80 萬元、碩士畢業約 100 萬元、博士則逾 130 萬元。南亞科為因應今年持續強化先進製程開發，產品多元化應用與下世代記憶體產品設計，預計徵才超過 300 人，並將擴大招募研發人才，職缺包含 IC 設計、電路佈局、電腦輔助設計、先進製程開發、製程整合、人工智慧技術應用、生產製造技術等類別，其中，研發人才預計招募逾 100 人。南亞科總經理李培瑛表示，公司的薪資水準若以月薪起薪來看，大學畢業約 4.1 萬、碩士畢業 4.8 萬、博士畢業 5.7 萬，而基本薪資為 15 個月，再加上三節獎金、季獎金、年終分紅與目標達成獎金等，平均薪資上看 20 個月，大學畢業年薪可望逾 80 萬元、碩士畢業約 100 萬元、博士則逾 130 萬元。李培瑛表示，公司極度重視研發，每年均投入大筆資金與人力，從事產品與製程研發，近年研發團隊成功開發出全台首顆 8Gb DDR4，並成為雲端與數據中心市場關鍵零組件供應鏈，今年低功率 LPDDR4/4X 系列產品，也將陸續開發完成，切入工業級與車用等市場。在中國全力發展半導體產業之下，南亞科也深受其害，工程師等人才先前頻遭挖角。李培瑛說，這也為南亞科帶來警惕，讓公司更關注同仁感受，增進與同仁的互動，且在發展競爭力上也更加積極，將會持續善待員工、回饋股東，相信未來一切會更好。,1552109782,2019-03-09 13:36:22
4287446,827,stock,鉅亨網記者彭昱文 台北,郭董回母校 勉勵學弟妹「再出一個台灣首富」,鴻海 (2317-TW) 董事長郭台銘今 (9) 日出席母校板橋國小 120 年校慶，上台致詞以「3 個肯定」勉勵台下的學弟妹，「未來及國家肯定是你們的、將來肯定會更健康長壽、一定會再出一個台灣首富」。板橋國小今日 120 周年校慶，身為校友的郭台銘，近日就在臉書上張貼出多篇小學時期的貼文以及照片，並預告將出席校慶與學弟妹同樂。而今日嘉賓致詞中，郭台銘除了感謝母校、感謝恩師外，也用「3 個肯定」勉勵台下的學弟妹。他表示，第一個肯定就是，未來及國家一定是台下學弟妹的，不是坐在上面的老頭子的，第二個肯定，學弟妹一定會更健康長壽，因為太多基因科技的發達。最後第三個肯定，郭台銘表示，在座的學弟學妹當中，一定會再度出一個台灣首富、一個比他自己更棒的企業家。而郭台銘也用實際行動回饋母校，鴻海在板橋國小建立「教育生活解決方案」的示範基地，捐贈北美最新教育現場使用的智慧教室相關配套軟硬體，目前已建置完成 1 間全功能的智慧教室，後續會共完成 3 間，整體捐贈金額約 1000 萬元。,1552109751,2019-03-09 13:35:51
